"Date","Open","High","Low","Close","Jaw ‌Alligator‌ (y,13,21,8,13,5,8,n)","Teeth ‌Alligator‌ (y,13,21,8,13,5,8,n)","Lips ‌Alligator‌ (y,13,21,8,13,5,8,n)","MA ‌ma‌ (5,ma,0)","MA ‌ma‌ (15,ma,0)"
"Mon Dec 19 2022 11:25:00 GMT+0530 (India Standard Time)","18352.05","18353.50","18342.25","18348.65","18296.30","18315.47","18339.36","18346.09","18342.92"
"Mon Dec 19 2022 11:30:00 GMT+0530 (India Standard Time)","18348.65","18353.85","18345.90","18352.60","18297.23","18318.99","18340.71","18347.87","18343.27"
"Mon Dec 19 2022 11:35:00 GMT+0530 (India Standard Time)","18352.70","18369.30","18351.65","18367.90","18296.94","18322.46","18339.23","18353.56","18344.86"
"Mon Dec 19 2022 11:40:00 GMT+0530 (India Standard Time)","18368.10","18371.95","18362.85","18368.30","18297.79","18324.78","18337.53","18357.75","18346.37"
"Mon Dec 19 2022 11:45:00 GMT+0530 (India Standard Time)","18369.05","18370.15","18364.15","18365.75","18299.99","18327.04","18337.15","18360.64","18347.90"
"Mon Dec 19 2022 11:50:00 GMT+0530 (India Standard Time)","18365.00","18371.55","18361.45","18366.70","18303.03","18330.32","18337.80","18364.25","18349.86"
"Mon Dec 19 2022 11:55:00 GMT+0530 (India Standard Time)","18365.95","18368.90","18363.60","18365.95","18305.40","18332.29","18338.63","18366.92","18350.88"
"Mon Dec 19 2022 12:00:00 GMT+0530 (India Standard Time)","18365.40","18368.70","18356.80","18358.80","18308.18","18332.42","18340.97","18365.10","18351.35"
"Mon Dec 19 2022 12:05:00 GMT+0530 (India Standard Time)","18357.60","18363.95","18354.45","18356.00","18311.23","18332.21","18342.35","18362.64","18352.44"
"Mon Dec 19 2022 12:10:00 GMT+0530 (India Standard Time)","18356.00","18375.15","18353.40","18375.15","18313.73","18332.63","18343.86","18364.52","18355.68"
"Mon Dec 19 2022 12:15:00 GMT+0530 (India Standard Time)","18375.40","18383.05","18374.85","18376.05","18316.26","18333.60","18347.18","18366.39","18358.91"
"Mon Dec 19 2022 12:20:00 GMT+0530 (India Standard Time)","18375.30","18379.40","18370.00","18375.35","18318.17","18334.65","18351.22","18368.27","18361.02"
"Mon Dec 19 2022 12:25:00 GMT+0530 (India Standard Time)","18375.95","18383.40","18370.85","18381.45","18320.07","18336.61","18354.41","18372.80","18363.82"
"Mon Dec 19 2022 12:30:00 GMT+0530 (India Standard Time)","18380.60","18383.25","18361.70","18363.75","18322.62","18338.02","18356.83","18374.35","18364.91"
"Mon Dec 19 2022 12:35:00 GMT+0530 (India Standard Time)","18362.55","18365.45","18354.15","18364.95","18324.43","18339.50","18358.71","18372.31","18365.82"
"Mon Dec 19 2022 12:40:00 GMT+0530 (India Standard Time)","18365.65","18365.70","18353.45","18355.65","18325.11","18342.12","18359.52","18368.23","18366.29"
"Mon Dec 19 2022 12:45:00 GMT+0530 (India Standard Time)","18354.40","18354.45","18339.85","18344.85","18325.54","18345.28","18359.46","18362.13","18365.77"
"Mon Dec 19 2022 12:50:00 GMT+0530 (India Standard Time)","18343.45","18349.40","18338.50","18348.20","18326.32","18348.02","18360.42","18355.48","18364.46"
"Mon Dec 19 2022 12:55:00 GMT+0530 (India Standard Time)","18347.40","18351.70","18339.35","18342.45","18327.40","18350.33","18364.13","18351.22","18362.74"
"Mon Dec 19 2022 13:00:00 GMT+0530 (India Standard Time)","18341.70","18341.70","18329.20","18331.35","18328.52","18352.32","18366.24","18344.50","18360.44"
"Mon Dec 19 2022 13:05:00 GMT+0530 (India Standard Time)","18330.10","18333.85","18323.25","18329.05","18330.20","18353.62","18368.42","18339.18","18357.93"
"Mon Dec 19 2022 13:10:00 GMT+0530 (India Standard Time)","18328.00","18338.10","18322.05","18333.00","18331.56","18354.32","18369.23","18336.81","18355.74"
"Mon Dec 19 2022 13:15:00 GMT+0530 (India Standard Time)","18331.60","18343.30","18327.55","18343.30","18332.97","18355.56","18367.34","18335.83","18354.70"
"Mon Dec 19 2022 13:20:00 GMT+0530 (India Standard Time)","18342.00","18349.30","18341.25","18347.45","18335.08","18358.49","18365.79","18336.83","18354.13"
"Mon Dec 19 2022 13:25:00 GMT+0530 (India Standard Time)","18347.60","18351.60","18342.15","18350.45","18337.57","18360.51","18362.06","18340.65","18352.49"
"Mon Dec 19 2022 13:30:00 GMT+0530 (India Standard Time)","18350.00","18359.95","18348.75","18349.40","18339.85","18362.59","18358.44","18344.72","18350.71"
"Mon Dec 19 2022 13:35:00 GMT+0530 (India Standard Time)","18348.95","18356.25","18348.95","18354.75","18341.90","18363.83","18355.86","18349.07","18349.34"
"Mon Dec 19 2022 13:40:00 GMT+0530 (India Standard Time)","18354.45","18366.10","18353.35","18366.10","18343.77","18363.32","18351.78","18353.63","18348.31"
"Mon Dec 19 2022 13:45:00 GMT+0530 (India Standard Time)","18366.65","18368.80","18360.60","18365.65","18345.23","18362.85","18347.13","18357.27","18348.44"
"Mon Dec 19 2022 13:50:00 GMT+0530 (India Standard Time)","18365.60","18375.65","18365.60","18374.50","18346.30","18360.89","18343.72","18362.08","18349.08"
"Mon Dec 19 2022 13:55:00 GMT+0530 (India Standard Time)","18374.55","18375.35","18365.90","18369.25","18347.69","18358.77","18342.06","18366.05","18349.98"
"Mon Dec 19 2022 14:00:00 GMT+0530 (India Standard Time)","18369.20","18370.85","18353.75","18357.00","18350.09","18357.12","18342.70","18366.50","18350.79"
"Mon Dec 19 2022 14:05:00 GMT+0530 (India Standard Time)","18357.80","18372.80","18356.45","18365.60","18351.98","18354.41","18343.54","18366.40","18351.95"
"Mon Dec 19 2022 14:10:00 GMT+0530 (India Standard Time)","18365.75","18369.65","18363.25","18366.95","18353.92","18351.18","18345.70","18366.66","18353.59"
"Mon Dec 19 2022 14:15:00 GMT+0530 (India Standard Time)","18366.60","18374.70","18359.70","18366.15","18355.35","18348.54","18347.08","18364.99","18355.91"
"Mon Dec 19 2022 14:20:00 GMT+0530 (India Standard Time)","18366.25","18366.25","18355.70","18363.85","18355.69","18346.90","18349.61","18363.91","18358.23"
"Mon Dec 19 2022 14:25:00 GMT+0530 (India Standard Time)","18364.50","18365.45","18352.25","18363.60","18355.99","18346.70","18352.63","18365.23","18360.27"
